"","GradoAcademico","MontoCredito_Maximo","MontoCredito_Promedio","MontoCredito_Conteo","IngresoNeto_Maximo","IngresoNeto_Promedio","IngresoNeto_Conteo","CoefCreditoAvaluo_Maximo","CoefCreditoAvaluo_Promedio","CoefCreditoAvaluo_Conteo"
"1","Bachiller",298736,48887.9036377709,2584,2,1.59287925696594,2584,12,11.1772445820433,2584
"2","Licenciatura",299082,44521.6374172185,2416,2,1.50579470198676,2416,12,9.44577814569536,2416
